screen_name,tweet,time,hashtags,cashtags,mentions,emojis,retweet_count,favorite_count
LeBronJames,I feel like we re the team to beat. Kyrie Irving #Cavs,4/1/16 13:16,#Cavs,,,Trophy|Heavy_check_mark,377,420
LeBronJames,#Throwback King James blocking Tyronn Lue 10 years ago,4/1/16 8:42,#Throwback,,,Crown,503,492
LeBronJames,Automatic on 3 work on 6 Watch the squad put that into action in #CavsTV s Top Plays of March:,4/1/16 8:01,#CavsTV,,,,358,486
LeBronJames,Steph Curry is better than LeBron.,4/1/16 7:46,#AprilFools,,,Trophy,279,209
LeBronJames,King James vs. Dominique Wilkins Dunk Competition #StriveForGreatness,3/31/16 23:25,#StriveForGreatness,,,Crown,346,313
LeBronJames,This season alone LeBron jumped J.West R.Miller A.English K.Garnett P.Pierce J.Havlicek T.Duncan D.Wilkins on @NBA All Time Scoring List,3/31/16 16:30,,,19923144,,2K,1.5K
LeBronJames,Cracking the Top 12. #StriveForGreatnesspic.twitter.com/UfthVv7hma,3/31/16 16:30,#StriveForGreatness,,,,438,520
LeBronJames,Steph Curry vs. LeBron James,3/31/16 15:01,,,,Crown,550,440
LeBronJames,LeBron only needs 4 points to pass Dominique Wilkins for the 12th spot on the All Time Scoring List.,3/31/16 12:32,,,,Crown|Heavy_check_mark,220,226
LeBronJames,D Angelo Russell getting onto the Lakers bus...,3/31/16 9:59,,,,Face_with_tears_of_joy|Face_with_tears_of_joy|Skull,666,525
LeBronJames,I m not on the court.. No I m not... Coach LeBron,3/31/16 9:04,,,,Crown,336,335
LeBronJames,Iman Shumpert using Coach Tyronn Lue as a towel rack... #Cavs #AllinCLE,3/31/16 0:55,#Cavs|#AllinCLE,,,Heavy_check_mark,365,330
LeBronJames,Marcelo Huertas hiding behind Erik Spoelstra...,3/30/16 22:59,#Heat|#Lakers,,,Face_with_tears_of_joy,329,306
LeBronJames,Marcelo Huertas hides behind Erik Spoelstra before stealing the ball from Goran Dragic.,3/30/16 22:50,,,,Face_with_tears_of_joy,386,361
LeBronJames,20 years of blood sweat tears. #KB20,3/30/16 21:25,#KB20,,,,523,524
LeBronJames,Miami Heat fast break,3/30/16 20:58,,,,Fire|Fire|Fire,340,282
LeBronJames,Dwyane Wade vs. Kobe Bryant,3/30/16 20:11,,,,,338,301
LeBronJames,Dangelo #Lakeshow,3/30/16 11:04,#Lakeshow,,,Skull|Pistol,501,412
LeBronJames,If Curry did this twitter would go crazy but LeBron never gets credit. #Cavs #CavsNATION,3/30/16 7:47,#Cavs|#CavsNATION,,,,1.3K,1.1K
LeBronJames,Coach LeBron not happy with #Cavs loss..,3/29/16 22:57,#Cavs,,,,299,324
LeBronJames,Coach LeBron James #Cavs,3/29/16 20:03,#Cavs,,,Heavy_check_mark,312,334
LeBronJames,Real Ballin,3/29/16 14:17,,,,Hundred_points_symbol|Face_with_tears_of_joy,383,349
LeBronJames,Breaking News: Kehlani is at 10 in the hospital.. But we need Kyrie at 100...,3/29/16 11:25,,,,Skull,734,675
LeBronJames,Kid runs out to give Carmelo a Hug,3/28/16 20:28,#NYK|#Me7o,,,Hugging_face,731,723
LeBronJames,Russell Westbrook with the put back layup on his own free throw,3/28/16 19:14,,,,Person_raising_both_hands_in_celebration,308,274
LeBronJames,Russell Westbrook with the put back on his own free throw #OKC,3/28/16 19:08,#OKC,,,,422,415
LeBronJames,Westbrook with steal and Slam KD raising the roof,3/28/16 18:54,,,,Person_raising_both_hands_in_celebration,468,465
LeBronJames,Focused Let s make this run boys #TheLand #StriveForGreatness,3/25/16 20:43,#TheLand|#StriveForGreatness,,,,7.5K,14K
LeBronJames,Last name. Ever first name. Greatest ...,3/28/16 16:17,,,,,532,486
LeBronJames,#Kehlani,3/28/16 16:07,#Kehlani,,,Exclamation_question_mark,254,282
LeBronJames,Seriously tho... Who s Kehlani,3/28/16 15:41,,,,,640,550
LeBronJames,He fuckin with me cause I m loyal... #Kehlani,3/28/16 15:21,#Kehlani,,,,1.7K,1.4K
LeBronJames,Fuck That ...,3/28/16 13:50,,,,,648,597
LeBronJames,Shenanigans,3/28/16 12:44,,,,,335,210
LeBronJames,Congrats @KingJames LBJ was just named Player of the Week for an NBA record 52nd time: pic.twitter.com/p8pgCAcgYN,3/28/16 12:05,,,23083404,,1.1K,1.9K
LeBronJames,Farewell Tour vs. The Return Tour #KB21,3/28/16 10:42,#KB21,,,Snake,291,310
LeBronJames,Happy Easter,3/27/16 10:53,,,,Rabbit_face,279,272
LeBronJames,I haven t jumped outta my seat like that in a long time. The team reacts as @KingJames posterizes in @TheGarden:,3/27/16 8:26,,,23083404|121254571,,1.7K,2.7K
LeBronJames,LeBron James with the 2 hand Slam #NBA #PhantomCam,3/26/16 20:05,#NBA|#PhantomCam,,,,438,422
LeBronJames,LeBron throws it down on 2 defenders #Cavs #Knicks,3/26/16 18:48,#Cavs|#Knicks,,,,797,626
